Player,url,From,To,Pos,Ht,Wt,Birth Date,Colleges,Shoots,Height,Weight,Origin,Debut,Position
Danny Ainge,/players/a/aingeda01.html,1982,1995,G,6-4,175,"March 17, 1959",BYU,Right,6-4,175lb,"Eugene, Oregon","December 9, 1981",Shooting Guard and Point Guard
Matthew Aitch,/players/a/aitchma01.html,1968,1968,F,6-7,230,"September 21, 1944",Michigan State,Right,6-7,230lb,"St. Louis, Missouri",NA,Power Forward
Alexis Ajinça,/players/a/ajincal01.html,2009,2017,C-F,7-2,248,"May 6, 1988",,Right,7-2,248lb,Sa,"October 30, 2008",Center and Power Forward
Henry Akin,/players/a/akinhe01.html,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University,Right,6-10,225lb,"Detroit, Michigan","October 15, 1966",Power Forward and Center
Josh Akognon,/players/a/akognjo01.html,2013,2013,G,5-11,185,"February 10, 1986","Washington State, Cal State Fullerton",Right,5-11,185lb,"Greenbrae, California","April 10, 2013",Point Guard
DeVaughn Akoon-Purcell,/players/a/akoonde01.html,2019,2019,G,6-6,200,"June 5, 1993",Illinois State,Right,6-6,200lb,"Orlando, Florida","October 23, 2018",Shooting Guard
Solomon Alabi,/players/a/alabiso01.html,2011,2012,C,7-1,251,"March 21, 1988",Florida State,Right,7-1,251lb,"Kaduna, Nigeria","November 13, 2010",Center
Mark Alarie,/players/a/alarima01.html,1987,1991,F,6-8,217,"December 11, 1963",Duke,Right,6-8,217lb,"Phoenix, Arizona","October 31, 1986",Power Forward
Gary Alcorn,/players/a/alcorga01.html,1960,1961,C,6-9,225,"October 8, 1936",Fresno State,Right,6-9,225lb,"Fresno, California","October 18, 1959",Center
Santi Aldama,/players/a/aldamsa01.html,2022,2022,F,6-11,224,"January 10, 2001",Loyola (MD),Right,6-11,224lb,"Las Palmas, Spa","October 27, 2021",Power Forward
Furkan Aldemir,/players/a/aldemfu01.html,2015,2015,F-C,6-10,240,"August 9, 1991",,Right,6-10,240lb,"Konak, Turkey","December 15, 2014",Power Forward
Cole Aldrich,/players/a/aldrico01.html,2011,2018,C,6-11,250,"October 31, 1988",Kansas,Right,6-11,250lb,"Burnsville, M","October 31, 2010",Center
LaMarcus Aldridge,/players/a/aldrila01.html,2007,2022,F-C,6-11,250,"July 19, 1985",Texas,Right,6-11,250lb,"Dallas, Texas","November 12, 2006",Power Forward and Center
Chuck Aleksinas,/players/a/aleksch01.html,1985,1985,C,6-11,260,"February 26, 1959","Kentucky, UConn",Right,6-11,260lb,"Litchfield, Connecticut","October 26, 1984",Center
Cliff Alexander,/players/a/alexacl01.html,2016,2016,F,6-8,245,"November 16, 1995",Kansas,Right,6-8,245lb,"Chicago, Ill","November 15, 2015",Power Forward
Cory Alexander,/players/a/alexaco01.html,1996,2005,G,6-1,185,"June 22, 1973",Virginia,Right,6-1,185lb,"Waynesboro, Virg","November 4, 1995",Point Guard and Shooting Guard
Courtney Alexander,/players/a/alexaco02.html,2001,2003,G,6-5,205,"April 27, 1977","Virginia, Fresno State",Right,6-5,205lb,"Bridgeport, Connecticut","November 4, 2000",Point Guard and Shooting Guard
Gary Alexander,/players/a/alexaga01.html,1994,1994,F,6-7,240,"November 1, 1969",South Florida,Right,6-7,240lb,"Jacksonville, Florida","November 5, 1993",Power Forward
Joe Alexander,/players/a/alexajo01.html,2009,2010,F,6-8,230,"December 26, 1986",West Virginia,Right,6-8,230lb,"Kaohsiung, Taiwan","November 2, 2008",Small Forward
Kyle Alexander,/players/a/alexaky01.html,2020,2020,F,6-11,220,"October 21, 1996",Tennessee,Right,6-11,220lb,"Scarborough, Canada","August 6, 2020",Center
Ty-Shon Alexander,/players/a/alexaty01.html,2021,2021,G,6-3,195,"July 16, 1998",Creighton,Right,6-3,195lb,"Charlotte, North Carol","December 27, 2020",Shooting Guard
Victor Alexander,/players/a/alexavi01.html,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State,Right,6-9,265lb,"Detroit, Michigan","November 1, 1991",Center
Nickeil Alexander-Walker,/players/a/alexani01.html,2020,2022,G,6-6,205,"September 2, 1998",Virginia Tech,Right,6-6,205lb,"Toronto, Canada","October 22, 2019",Shooting Guard
Steve Alford,/players/a/alforst01.html,1988,1991,G,6-2,183,"November 23, 1964",Indiana,Right,6-2,183lb,Frankl,"November 6, 1987",Point Guard
Rawle Alkins,/players/a/alkinra01.html,2019,2019,G,6-5,225,"October 29, 1997",Arizona,Right,6-5,225lb,"Brooklyn, New York","December 17, 2018",Shooting Guard
Bill Allen,/players/a/allenbi01.html,1968,1968,C-F,6-8,205,,New Mexico State,Right,6-8,205lb,NA,NA,Center
Bob Allen,/players/a/allenbo01.html,1969,1969,F,6-9,205,"July 17, 1946",Marshall,Right,6-9,205lb,NA,"October 29, 1968",Power Forward
Grayson Allen,/players/a/allengr01.html,2019,2022,G,6-4,198,"October 8, 1995",Duke,Right,6-4,198lb,"Jacksonville, Florida","October 22, 2018",Shooting Guard
Jarrett Allen,/players/a/allenja01.html,2018,2022,C-F,6-11,243,"April 21, 1998",Texas,Right,6-11,243lb,"San Diego, California","October 20, 2017",Center
Jerome Allen,/players/a/allenje01.html,1996,1997,G,6-4,184,"January 28, 1973",Penn,Right,6-4,184lb,"Philadelphia, Pennsylvania","November 3, 1995",Shooting Guard
Kadeem Allen,/players/a/allenka01.html,2018,2020,G,6-1,200,"January 15, 1993",Arizona,Right,6-1,200lb,Wilm,"December 11, 2017",Point Guard
Lavoy Allen,/players/a/allenla01.html,2012,2017,F-C,6-9,260,"February 4, 1989",Temple,Right,6-9,260lb,"Morrisville, Pennsylvania","January 7, 2012",Power Forward and Center
Lucius Allen,/players/a/allenlu01.html,1970,1979,G,6-2,175,"September 26, 1947",UCLA,Right,6-2,175lb,"Kansas City, Kansas","October 14, 1969",Point Guard
Malik Allen,/players/a/allenma01.html,2002,2011,F-C,6-10,255,"June 27, 1978",Villanova,Right,6-10,255lb,Will,"November 30, 2001",Power Forward
Randy Allen,/players/a/allenra01.html,1989,1990,F,6-8,220,"January 26, 1965",Florida State,Right,6-8,220lb,"Milton, Florida","March 9, 1989",Shooting Guard
Ray Allen,/players/a/allenra02.html,1997,2014,G,6-5,205,"July 20, 1975",UConn,Right,6-5,205lb,"Merced, California","November 1, 1996",Shooting Guard
Tony Allen,/players/a/allento01.html,2005,2018,G-F,6-4,213,"January 11, 1982","Butler County Community College, Oklahoma State",Right,6-4,213lb,"Chicago, Ill","November 3, 2004",Shooting Guard  Small Forward  and Point Guard
Willie Allen,/players/a/allenwi01.html,1972,1972,F,6-6,230,"February 8, 1949",Miami (FL),Right,6-6,230lb,NA,NA,Power Forward
Odis Allison,/players/a/allisod01.html,1972,1972,F,6-6,195,"October 2, 1949",UNLV,Right,6-6,195lb,NA,"October 15, 1971",Small Forward
Lance Allred,/players/a/allrela01.html,2008,2008,C,6-11,250,"February 2, 1981","Utah, Weber State",Right,6-11,250lb,"Salt Lake City, Utah","March 17, 2008",Center
Darrell Allums,/players/a/allumda01.html,1981,1981,F,6-9,220,"September 12, 1958",UCLA,Right,6-9,220lb,"Los Angeles, California","October 11, 1980",Power Forward
Morris Almond,/players/a/almonmo01.html,2008,2012,G,6-6,225,"February 2, 1985",Rice University,Right,6-6,225lb,"Dalton, Georgia","November 7, 2007",Shooting Guard
Derrick Alston,/players/a/alstode01.html,1995,1997,F,6-11,225,"August 20, 1972",Duquesne,Right,6-11,225lb,"Bronx, New York","November 4, 1994",Center
Rafer Alston,/players/a/alstora01.html,2000,2010,G,6-2,171,"July 24, 1976",Fresno State,Right,6-2,171lb,"New York, New York","February 17, 2000",Point Guard
Peter Aluma,/players/a/alumape01.html,1999,1999,C,6-10,260,"April 23, 1973",Liberty,Right,6-10,260lb,"Lagos, Nigeria","February 5, 1999",Center
Jose Alvarado,/players/a/alvarjo01.html,2022,2022,G,6-0,179,"April 12, 1998",Georgia Tech,Right,6-0,179lb,"Brooklyn, New York","November 3, 2021",Point Guard
John Amaechi,/players/a/amaecjo01.html,1996,2003,C-F,6-10,270,"November 26, 1970","Vanderbilt, Penn State",Right,6-10,270lb,"Boston, Massachusetts","November 3, 1995",Center and Power Forward
Ashraf Amaya,/players/a/amayaas01.html,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois,Right,6-8,230lb,"Oak Park, Ill","November 7, 1995",Power Forward
Al-Farouq Aminu,/players/a/aminual01.html,2011,2021,F,6-8,220,"September 21, 1990",Wake Forest,Right,6-8,220lb,"Atlanta, Georgia","October 27, 2010",Power Forward and Small Forward
Lou Amundson,/players/a/amundlo01.html,2007,2016,F-C,6-9,220,"December 7, 1982",UNLV,Right,6-9,220lb,"Ventura, California","February 24, 2007",Power Forward
Bob Anderegg,/players/a/anderbo01.html,1960,1960,F-G,6-3,200,"August 24, 1937",Michigan State,Right,6-3,200lb,"Monroe, Wiscons","October 31, 1959",Small Forward
Chris Andersen,/players/a/anderch01.html,2002,2017,C-F,6-10,245,"July 7, 1978",Blinn College,Right,6-10,245lb,"Long Beach, California","November 23, 2001",Center and Power Forward
David Andersen,/players/a/anderda03.html,2010,2011,C,6-11,245,"June 23, 1980",,Right,6-11,245lb,"Melbourne, Australia","October 27, 2009",Power Forward and Center
Alan Anderson,/players/a/anderal01.html,2006,2017,G-F,6-6,220,"October 16, 1982",Michigan State,Right,6-6,220lb,M,"November 12, 2005",Small Forward and Shooting Guard
Andrew Anderson,/players/a/anderan01.html,1968,1970,G,6-2,184,"July 6, 1945",Canisius,Right,6-2,184lb,"Buffalo, New York",NA,Shooting Guard and Point Guard
Antonio Anderson,/players/a/anderan02.html,2010,2010,G,6-6,215,"June 5, 1985",Memphis,Right,6-6,215lb,"Lynn, Massachusetts","March 3, 2010",Small Forward
Cliff Anderson,/players/a/andercl01.html,1968,1971,G-F,6-2,200,"September 7, 1944",Saint Joseph's,Right,6-2,200lb,NA,"October 17, 1967",Shooting Guard
Dan Anderson,/players/a/anderda01.html,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,Right,6-10,230lb,M,NA,Center
Dan Anderson,/players/a/anderda01.html,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,Right,6-10,230lb,M,NA,Center
Dan Anderson,/players/a/anderda01.html,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,Right,6-2,185lb,NA,"October 27, 1974",Point Guard and Shooting Guard
Dan Anderson,/players/a/anderda01.html,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,Right,6-2,185lb,NA,"October 27, 1974",Point Guard and Shooting Guard
Dan Anderson,/players/a/anderda01.html,1975,1976,G,6-2,185,"January 1, 1951",USC,Right,6-10,230lb,M,NA,Center
Dan Anderson,/players/a/anderda01.html,1975,1976,G,6-2,185,"January 1, 1951",USC,Right,6-10,230lb,M,NA,Center
Dan Anderson,/players/a/anderda01.html,1975,1976,G,6-2,185,"January 1, 1951",USC,Right,6-2,185lb,NA,"October 27, 1974",Point Guard and Shooting Guard
Dan Anderson,/players/a/anderda01.html,1975,1976,G,6-2,185,"January 1, 1951",USC,Right,6-2,185lb,NA,"October 27, 1974",Point Guard and Shooting Guard
Dan Anderson,/players/a/anderda02.html,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,Right,6-10,230lb,M,NA,Center
Dan Anderson,/players/a/anderda02.html,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,Right,6-10,230lb,M,NA,Center
Dan Anderson,/players/a/anderda02.html,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,Right,6-2,185lb,NA,"October 27, 1974",Point Guard and Shooting Guard
Dan Anderson,/players/a/anderda02.html,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,Right,6-2,185lb,NA,"October 27, 1974",Point Guard and Shooting Guard
Dan Anderson,/players/a/anderda02.html,1975,1976,G,6-2,185,"January 1, 1951",USC,Right,6-10,230lb,M,NA,Center
Dan Anderson,/players/a/anderda02.html,1975,1976,G,6-2,185,"January 1, 1951",USC,Right,6-10,230lb,M,NA,Center
Dan Anderson,/players/a/anderda02.html,1975,1976,G,6-2,185,"January 1, 1951",USC,Right,6-2,185lb,NA,"October 27, 1974",Point Guard and Shooting Guard
Dan Anderson,/players/a/anderda02.html,1975,1976,G,6-2,185,"January 1, 1951",USC,Right,6-2,185lb,NA,"October 27, 1974",Point Guard and Shooting Guard
Derek Anderson,/players/a/anderde01.html,1998,2008,G,6-5,194,"July 18, 1974","Ohio State, Kentucky",Right,6-5,194lb,"Louisville, Kentucky","October 31, 1997",Shooting Guard  Small Forward  and Point Guard
Dwight Anderson,/players/a/anderdw01.html,1983,1983,G,6-3,185,"December 28, 1960","Kentucky, USC",Right,6-3,185lb,"Dayton, Ohio","December 30, 1982",Point Guard
Eric Anderson,/players/a/anderer01.html,1993,1994,F,6-9,220,"May 26, 1970",Indiana,Right,6-9,220lb,"Chicago, Ill","November 16, 1992",Power Forward
Greg Anderson,/players/a/andergr01.html,1988,1998,F-C,6-10,230,"June 22, 1964",Houston,Right,6-10,230lb,"Houston, Texas","November 6, 1987",Power Forward and Center
J.J. Anderson,/players/a/anderjj01.html,1983,1985,F,6-8,195,"September 23, 1960",Bradley,Right,6-8,195lb,"Chicago, Ill","October 29, 1982",Small Forward
James Anderson,/players/a/anderja01.html,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State,Right,6-6,213lb,"El Dorado, Arkansas","October 27, 2010",Shooting Guard and Small Forward
Jerome Anderson,/players/a/anderje01.html,1976,1977,G,6-5,195,"October 9, 1953",West Virginia,Right,6-5,195lb,"Mullens, West Virg","December 12, 1975",Shooting Guard
Justin Anderson,/players/a/anderju01.html,2016,2022,G,6-6,230,"November 19, 1993",Virginia,Left,6-6,230lb,"Montross, Virg","October 28, 2015",Small Forward and Shooting Guard
Kenny Anderson,/players/a/anderke01.html,1992,2005,G,6-0,168,"October 9, 1970",Georgia Tech,Left,6-0,168lb,"Queens, New York","November 9, 1991",Point Guard
Kim Anderson,/players/a/anderki01.html,1979,1979,F,6-7,200,"May 12, 1955",Missouri,Right,6-7,200lb,"Sedalia, Missouri","October 15, 1978",Small Forward
Kyle Anderson,/players/a/anderky01.html,2015,2022,F-G,6-9,230,"September 20, 1993",UCLA,Right,6-9,230lb,"Fairview, New Jersey","November 6, 2014",Small Forward and Power Forward
Michael Anderson,/players/a/andermi01.html,1989,1989,G,5-11,184,"March 23, 1966",Drexel,Right,5-11,184lb,"Philadelphia, Pennsylvania","January 27, 1989",Point Guard
Nick Anderson,/players/a/anderni01.html,1990,2002,F-G,6-6,205,"January 20, 1968",Illinois,Right,6-6,205lb,"Chicago, Ill","November 4, 1989",Shooting Guard and Small Forward
Richard Anderson,/players/a/anderri01.html,1983,1990,F-C,6-10,240,"November 19, 1960",UC Santa Barbara,Right,6-10,240lb,"San Pedro, California","October 29, 1982",Power Forward and Center
Ron Anderson,/players/a/anderro01.html,1985,1994,F-G,6-7,215,"October 15, 1958",Fresno State,Right,6-7,215lb,"Chicago, Ill","October 26, 1984",Small Forward
Ryan Anderson,/players/a/anderry01.html,2009,2020,F,6-9,240,"May 6, 1988",California,Right,6-9,240lb,"Sacramento, California","October 29, 2008",Power Forward and Center
Shandon Anderson,/players/a/andersh01.html,1997,2006,F-G,6-6,208,"December 31, 1973",Georgia,Right,6-6,208lb,"Atlanta, Georgia","November 1, 1996",Shooting Guard and Small Forward
Willie Anderson,/players/a/anderwi01.html,1989,1997,G-F,6-7,190,"January 8, 1967",Georgia,Right,6-7,190lb,"Greenville, South Carol","November 5, 1988",Shooting Guard and Small Forward
Wally Anderzunas,/players/a/anderwa01.html,1970,1970,C-F,6-7,220,"January 11, 1946",Creighton,Right,6-7,220lb,NA,"October 22, 1969",Small Forward
Martynas Andriuškevičius,/players/a/andrima01.html,2006,2006,C,7-2,240,"March 12, 1986",,Right,7-2,240lb,"Kaunas, Lithuania","January 5, 2006",Center
Don Anielak,/players/a/anieldo01.html,1955,1955,F,6-7,190,"November 1, 1930",Missouri State,Right,6-7,190lb,"St. Louis, Missouri","November 6, 1954",Forward
Ike Anigbogu,/players/a/anigbik01.html,2018,2019,F-C,6-10,250,"October 17, 1998",UCLA,Right,6-10,250lb,"San Diego, California","October 20, 2017",Center
Michael Ansley,/players/a/anslemi01.html,1990,1992,F,6-7,225,"February 8, 1967",Alabama,Right,6-7,225lb,Birm,"November 6, 1989",Small Forward
Chris Anstey,/players/a/anstech01.html,1998,2000,C,7-0,249,"January 1, 1975",,Right,7-0,249lb,"Melbourne, Australia","November 8, 1997",Center
Giannis Antetokounmpo,/players/a/antetgi01.html,2014,2022,F-G,6-11,242,"December 6, 1994",,Right,6-11,242lb,"Athens, Greece","October 30, 2013",Power Forward  Small Forward  Point Guard  and Shooting Guard
Kostas Antetokounmpo,/players/a/antetko01.html,2019,2021,F,6-10,200,"November 20, 1997",Dayton,Right,6-10,200lb,"Athens, Greece","March 20, 2019",Power Forward
Thanasis Antetokounmpo,/players/a/antetth01.html,2016,2022,F,6-6,219,"July 18, 1992",,Right,6-6,219lb,"Athens, Greece","January 29, 2016",Small Forward
Carmelo Anthony,/players/a/anthoca01.html,2004,2022,F,6-7,238,"May 29, 1984",Syracuse,Right,6-7,238lb,"Brooklyn, New York","October 29, 2003",Small Forward and Power Forward
Cole Anthony,/players/a/anthoco01.html,2021,2022,G,6-2,185,"May 15, 2000",UNC,Right,6-2,185lb,"Portland, Oregon","December 23, 2020",Point Guard
Greg Anthony,/players/a/anthogr01.html,1992,2002,G,6-0,176,"November 15, 1967","University of Portland, UNLV",Left,6-0,176lb,"Las Vegas, Nevada","November 1, 1991",Point Guard
Joel Anthony,/players/a/anthojo01.html,2008,2017,C,6-9,245,"August 9, 1982",UNLV,Left,6-9,245lb,"Montreal, Canada","November 27, 2007",Center and Power Forward
Pero Antić,/players/a/anticpe01.html,2014,2015,C-F,6-11,260,"July 29, 1982",,Right,6-11,260lb,"Skopje, Macedonia","October 30, 2013",Center
OG Anunoby,/players/a/anunoog01.html,2018,2022,F,6-7,232,"July 17, 1997",Indiana,Right,6-7,232lb,"London, United K","October 19, 2017",Small Forward
Keith Appling,/players/a/applike01.html,2016,2016,G,6-1,185,"February 13, 1992",Michigan State,Right,6-1,185lb,"Detroit, Michigan","January 18, 2016",Point Guard
Rafael Araújo,/players/a/araujra01.html,2005,2007,C,6-11,280,"August 12, 1980",BYU,Right,6-11,280lb,"Curitiba, Brazil","November 3, 2004",Center
Stacey Arceneaux,/players/a/arcenst01.html,1962,1962,F,6-4,210,"February 17, 1936",Iowa State,Right,6-4,210lb,NA,"March 2, 1962",Forward
Robert Archibald,/players/a/archiro01.html,2003,2004,F,6-11,250,"March 29, 1980",Illinois,Right,6-11,250lb,"Paisley, United K","November 9, 2002",Power Forward and Center
Tiny Archibald,/players/a/architi01.html,1971,1984,G,6-1,150,"September 2, 1948",Texas-El Paso,Left,6-1,150lb,"New York, New York","October 14, 1970",Point Guard
Ryan Arcidiacono,/players/a/arcidry01.html,2018,2021,G,6-3,195,"March 26, 1994",Villanova,Right,6-3,195lb,"Langhorne, Pennsylvania","October 19, 2017",Point Guard
Jim Ard,/players/a/ardji01.html,1971,1978,F-C,6-8,215,"September 19, 1948",Cincinnati,Right,6-8,215lb,"Harvey, Ill","October 18, 1974",Center
Gilbert Arenas,/players/a/arenagi01.html,2002,2012,G,6-4,191,"January 6, 1982",Arizona,Right,6-4,191lb,"Tampa, Florida","November 4, 2001",Point Guard
Trevor Ariza,/players/a/arizatr01.html,2005,2022,F,6-8,215,"June 30, 1985",UCLA,Right,6-8,215lb,"Miami, Florida","November 3, 2004",Small Forward and Shooting Guard
Paul Arizin,/players/a/arizipa01.html,1951,1962,F-G,6-4,190,"April 9, 1928",Villanova,Right,6-4,190lb,"Philadelphia, Pennsylvania","November 4, 1950",Small Forward
Joe Arlauckas,/players/a/arlaujo01.html,1988,1988,F,6-9,230,"July 20, 1965",Niagara University,Right,6-9,230lb,"Rochester, New York","November 6, 1987",Small Forward
B.J. Armstrong,/players/a/armstbj01.html,1990,2000,G,6-2,175,"September 9, 1967",Iowa,Right,6-2,175lb,"Detroit, Michigan","November 3, 1989",Point Guard
Bob Armstrong,/players/a/armstbo01.html,1957,1957,C-F,6-8,220,"June 17, 1933",Michigan State,Right,6-8,220lb,"Detroit, Michigan","November 15, 1956",Center Forward
Brandon Armstrong,/players/a/armstbr01.html,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine,Left,6-5,188lb,"San Francisco, California","November 2, 2001",Shooting Guard
Curly Armstrong,/players/a/armstcu01.html,1949,1951,G-F,5-11,170,"November 1, 1918",Indiana,Right,5-11,170lb,"Fort Wayne, Indiana","November 3, 1948",Guard Forward
Darrell Armstrong,/players/a/armstda01.html,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University,Right,6-0,170lb,"Gastonia, North Carol","April 11, 1995",Point Guard
Hilton Armstrong,/players/a/armsthi01.html,2007,2014,F-C,6-11,235,"November 11, 1984",UConn,Right,6-11,235lb,"Peekskill, New York","November 1, 2006",Center and Power Forward
Tate Armstrong,/players/a/armstta01.html,1978,1979,G,6-3,175,"October 5, 1955",Duke,Right,6-3,175lb,"Moultrie, Georgia","October 18, 1977",Shooting Guard
Jesse Arnelle,/players/a/arnelje01.html,1956,1956,F,6-5,220,"December 30, 1933",Penn State,Right,6-5,220lb,"New Rochelle, New York","November 24, 1955",Power Forward
Jay Arnette,/players/a/arnetja01.html,1964,1966,G,6-2,175,"December 19, 1938",Texas,Right,6-2,175lb,Aust,"October 16, 1963",Shooting Guard and Point Guard
Bob Arnzen,/players/a/arnzebo01.html,1970,1974,F,6-5,205,"November 3, 1947",Notre Dame,Right,6-5,205lb,Cov,"October 14, 1970",Small Forward
Carlos Arroyo,/players/a/arroyca01.html,2002,2011,G,6-2,202,"July 30, 1979",Florida International University,Right,6-2,202lb,"Fajardo, Puerto Rico","October 30, 2001",Point Guard and Shooting Guard
