Player,url,From,To,Pos,Ht,Wt,Birth Date,Colleges
Wally Anderzunas,/players/a/anderwa01.html,1970,1970,C-F,6-7,220,"January 11, 1946",Creighton
Martynas Andriuškevičius,/players/a/andrima01.html,2006,2006,C,7-2,240,"March 12, 1986",
Don Anielak,/players/a/anieldo01.html,1955,1955,F,6-7,190,"November 1, 1930",Missouri State
Ike Anigbogu,/players/a/anigbik01.html,2018,2019,F-C,6-10,250,"October 17, 1998",UCLA
Michael Ansley,/players/a/anslemi01.html,1990,1992,F,6-7,225,"February 8, 1967",Alabama
Chris Anstey,/players/a/anstech01.html,1998,2000,C,7-0,249,"January 1, 1975",
Giannis Antetokounmpo,/players/a/antetgi01.html,2014,2022,F-G,6-11,242,"December 6, 1994",
Kostas Antetokounmpo,/players/a/antetko01.html,2019,2021,F,6-10,200,"November 20, 1997",Dayton
Thanasis Antetokounmpo,/players/a/antetth01.html,2016,2022,F,6-6,219,"July 18, 1992",
Carmelo Anthony,/players/a/anthoca01.html,2004,2022,F,6-7,238,"May 29, 1984",Syracuse
Cole Anthony,/players/a/anthoco01.html,2021,2022,G,6-2,185,"May 15, 2000",UNC
Greg Anthony,/players/a/anthogr01.html,1992,2002,G,6-0,176,"November 15, 1967","University of Portland, UNLV"
Joel Anthony,/players/a/anthojo01.html,2008,2017,C,6-9,245,"August 9, 1982",UNLV
Pero Antić,/players/a/anticpe01.html,2014,2015,C-F,6-11,260,"July 29, 1982",
OG Anunoby,/players/a/anunoog01.html,2018,2022,F,6-7,232,"July 17, 1997",Indiana
Keith Appling,/players/a/applike01.html,2016,2016,G,6-1,185,"February 13, 1992",Michigan State
Rafael Araújo,/players/a/araujra01.html,2005,2007,C,6-11,280,"August 12, 1980",BYU
Stacey Arceneaux,/players/a/arcenst01.html,1962,1962,F,6-4,210,"February 17, 1936",Iowa State
Robert Archibald,/players/a/archiro01.html,2003,2004,F,6-11,250,"March 29, 1980",Illinois
Tiny Archibald,/players/a/architi01.html,1971,1984,G,6-1,150,"September 2, 1948",Texas-El Paso
Ryan Arcidiacono,/players/a/arcidry01.html,2018,2021,G,6-3,195,"March 26, 1994",Villanova
Jim Ard,/players/a/ardji01.html,1971,1978,F-C,6-8,215,"September 19, 1948",Cincinnati
Gilbert Arenas,/players/a/arenagi01.html,2002,2012,G,6-4,191,"January 6, 1982",Arizona
Trevor Ariza,/players/a/arizatr01.html,2005,2022,F,6-8,215,"June 30, 1985",UCLA
Paul Arizin,/players/a/arizipa01.html,1951,1962,F-G,6-4,190,"April 9, 1928",Villanova
Joe Arlauckas,/players/a/arlaujo01.html,1988,1988,F,6-9,230,"July 20, 1965",Niagara University
B.J. Armstrong,/players/a/armstbj01.html,1990,2000,G,6-2,175,"September 9, 1967",Iowa
Bob Armstrong,/players/a/armstbo01.html,1957,1957,C-F,6-8,220,"June 17, 1933",Michigan State
Brandon Armstrong,/players/a/armstbr01.html,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine
Curly Armstrong,/players/a/armstcu01.html,1949,1951,G-F,5-11,170,"November 1, 1918",Indiana
Darrell Armstrong,/players/a/armstda01.html,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University
Hilton Armstrong,/players/a/armsthi01.html,2007,2014,F-C,6-11,235,"November 11, 1984",UConn
Tate Armstrong,/players/a/armstta01.html,1978,1979,G,6-3,175,"October 5, 1955",Duke
Jesse Arnelle,/players/a/arnelje01.html,1956,1956,F,6-5,220,"December 30, 1933",Penn State
Jay Arnette,/players/a/arnetja01.html,1964,1966,G,6-2,175,"December 19, 1938",Texas
Bob Arnzen,/players/a/arnzebo01.html,1970,1974,F,6-5,205,"November 3, 1947",Notre Dame
Carlos Arroyo,/players/a/arroyca01.html,2002,2011,G,6-2,202,"July 30, 1979",Florida International University
Darrell Arthur,/players/a/arthuda01.html,2009,2018,F,6-9,235,"March 25, 1988",Kansas
John Arthurs,/players/a/arthujo01.html,1970,1970,G,6-4,185,"August 15, 1947",Tulane
Jamel Artis,/players/a/artisja01.html,2018,2018,G-F,6-7,213,"January 12, 1993",Pitt
Ömer Aşık,/players/a/asikom01.html,2011,2018,C,7-0,255,"July 4, 1986",
Vincent Askew,/players/a/askewvi01.html,1988,1998,G-F,6-6,210,"February 28, 1966",Memphis
Keith Askins,/players/a/askinke01.html,1991,1999,G-F,6-7,197,"December 15, 1967",Alabama
Don Asmonga,/players/a/asmondo01.html,1954,1954,G,6-2,185,"February 15, 1928",Alliance College
Dick Atha,/players/a/athadi01.html,1956,1958,G,6-2,190,"September 21, 1931",Indiana State University
Chucky Atkins,/players/a/atkinch01.html,2000,2010,G,5-11,160,"August 14, 1974",South Florida
Al Attles,/players/a/attleal01.html,1961,1971,G,6-0,175,"November 7, 1936",North Carolina A&T
Chet Aubuchon,/players/a/aubucch01.html,1947,1947,G,5-10,137,"May 18, 1916",Michigan State
Stacey Augmon,/players/a/augmost01.html,1992,2006,F-G,6-8,205,"August 1, 1968",UNLV
D.J. Augustin,/players/a/augusdj01.html,2009,2022,G,5-11,183,"November 10, 1987",Texas
James Augustine,/players/a/augusja01.html,2007,2008,F,6-10,235,"February 27, 1984",Illinois
Isaac Austin,/players/a/austiis01.html,1992,2002,C,6-10,255,"August 18, 1969",Arizona State
Johnny Austin,/players/a/austijo01.html,1967,1968,G,6-0,170,"August 31, 1944",Boston College
Ken Austin,/players/a/austike01.html,1984,1984,F,6-9,205,"July 15, 1961",Rice University
Deni Avdija,/players/a/avdijde01.html,2021,2022,G-F,6-9,210,"January 3, 2001",
Anthony Avent,/players/a/aventan01.html,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall
Bird Averitt,/players/a/averibi01.html,1974,1978,G,6-1,170,"July 22, 1952",Pepperdine
William Avery,/players/a/averywi01.html,2000,2002,G,6-2,197,"August 8, 1979",Duke
Dennis Awtrey,/players/a/awtrede01.html,1971,1982,C,6-10,235,"February 22, 1948",Santa Clara
Joel Ayayi,/players/a/ayayijo01.html,2022,2022,G,6-5,180,"March 5, 2000",Gonzaga
Gustavo Ayón,/players/a/ayongu01.html,2012,2014,C,6-10,250,"April 1, 1985",
Jeff Ayres,/players/p/pendeje02.html,2010,2016,F,6-9,240,"April 29, 1987",Arizona State
Deandre Ayton,/players/a/aytonde01.html,2019,2022,C,6-11,250,"July 23, 1998",Arizona
Kelenna Azubuike,/players/a/azubuke01.html,2007,2012,G,6-5,220,"December 16, 1983",Kentucky
Udoka Azubuike,/players/a/azubuud01.html,2021,2022,C,6-10,280,"September 17, 1999",Kansas
Danny Ainge,/executives/aingeda01x.html,1982,1995,G,6-4,175,"March 17, 1959",BYU
Chris Babb,/players/b/babbch01.html,2014,2014,G,6-5,225,"February 14, 1990","Penn State, Iowa State"
Luke Babbitt,/players/b/babbilu01.html,2011,2018,F,6-9,225,"June 20, 1989",Nevada
Miloš Babić,/players/b/babicmi01.html,1991,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University
Johnny Bach,/players/b/bachjo01.html,1949,1949,F-G,6-2,180,"July 10, 1924",Fordham
Dwayne Bacon,/players/b/bacondw01.html,2018,2021,G,6-6,221,"August 30, 1995",Florida State
Henry Bacon,/players/b/baconhe01.html,1973,1973,G,6-3,205,"July 5, 1948",Louisville
Jim Baechtold,/players/b/baechji01.html,1953,1957,F-G,6-4,205,"December 9, 1927",Eastern Kentucky University
Dalibor Bagarić,/players/b/bagarda01.html,2001,2003,C,7-1,255,"February 7, 1980",
John Bagley,/players/b/baglejo01.html,1983,1994,G,6-0,185,"April 23, 1960",Boston College
Marvin Bagley III,/players/b/baglema01.html,2019,2022,F-C,6-11,235,"March 14, 1999",Duke
Carl Bailey,/players/b/baileca01.html,1982,1982,C,7-0,210,"April 23, 1958",Tuskegee University
Gus Bailey,/players/b/bailegu01.html,1975,1980,G-F,6-5,185,"February 18, 1951",Texas-El Paso
James Bailey,/players/b/baileja01.html,1980,1988,F-C,6-9,220,"May 21, 1957",Rutgers University
Thurl Bailey,/players/b/baileth01.html,1984,1999,F-C,6-11,215,"April 7, 1961",NC State
Toby Bailey,/players/b/baileto01.html,1999,2000,G,6-6,213,"November 19, 1975",UCLA
Cameron Bairstow,/players/b/bairsca01.html,2015,2016,F-C,6-9,250,"December 7, 1990",New Mexico
Jimmie Baker,/players/b/bakerji01.html,1976,1976,F,6-9,220,"December 25, 1953",Hawaii
Mark Baker,/players/b/bakerla01.html,1999,1999,G,6-1,175,"November 11, 1969",Ohio State
Maurice Baker,/players/b/bakerma01.html,2005,2005,G,6-1,175,"July 28, 1979",Oklahoma State
Norm Baker,/players/b/bakerno01.html,1947,1947,G,6-0,180,"February 17, 1923",
Ron Baker,/players/b/bakerro01.html,2017,2019,G,6-4,220,"March 30, 1993",Wichita State
Vin Baker,/players/b/bakervi01.html,1994,2006,F,6-11,232,"November 23, 1971",University of Hartford
Wade Baldwin,/players/b/baldwwa01.html,2017,2019,G,6-4,200,"March 29, 1996",Vanderbilt
Renaldo Balkman,/players/b/balkmre01.html,2007,2012,F,6-8,208,"July 14, 1984",South Carolina
Cedric Ball,/players/b/ballce01.html,1991,1991,F,6-8,210,"April 16, 1968",UNC Charlotte
LaMelo Ball,/players/b/ballla01.html,2021,2022,G,6-7,180,"August 22, 2001",
Lonzo Ball,/players/b/balllo01.html,2018,2022,G,6-6,190,"October 27, 1997",UCLA
Greg Ballard,/players/b/ballagr01.html,1978,1989,F,6-7,215,"January 29, 1955",Oregon
Herschel Baltimore,/players/b/baltihe01.html,1947,1947,F,6-4,195,"June 21, 1921",Penn State
Mo Bamba,/players/b/bambamo01.html,2019,2022,C,7-0,231,"May 12, 1998",Texas
Desmond Bane,/players/b/banede01.html,2021,2022,G,6-5,215,"June 25, 1998",TCU
Gene Banks,/players/b/banksge01.html,1982,1987,F-G,6-7,215,"May 15, 1959",Duke
Marcus Banks,/players/b/banksma01.html,2004,2011,G,6-2,200,"November 19, 1981",UNLV
Walker Banks,/players/b/bankswa01.html,1971,1971,C,6-10,205,"August 26, 1947",Western Kentucky
Ken Bannister,/players/b/bannike01.html,1985,1991,F-C,6-9,235,"April 1, 1960","Indiana State University, Saint Augustine's College"
Mike Bantom,/players/b/bantomi01.html,1974,1982,F-C,6-9,200,"December 3, 1951",Saint Joseph's
Dalano Banton,/players/b/bantoda01.html,2022,2022,G-F,6-9,204,"November 7, 1999",Nebraska
Cat Barber,/players/b/barbeca01.html,2022,2022,G,6-2,190,"July 25, 1994",NC State
John Barber,/players/b/barbejo01.html,1957,1957,F,6-6,210,"June 27, 1927","California State University, Los Angeles"
Leandro Barbosa,/players/b/barbole01.html,2004,2017,G,6-3,194,"November 28, 1982",
Steve Bardo,/players/b/bardost01.html,1992,1996,G,6-5,190,"April 5, 1968",Illinois
J.J. Barea,/players/b/bareajo01.html,2007,2020,G,5-10,180,"June 26, 1984",Northeastern University
Andrea Bargnani,/players/b/bargnan01.html,2007,2016,F-C,7-0,245,"October 26, 1985",
Cliff Barker,/players/b/barkecl01.html,1950,1952,G,6-2,185,"January 15, 1921",Kentucky
Tom Barker,/players/b/barketo01.html,1977,1979,C-F,6-11,225,"March 11, 1955",Hawaii
Charles Barkley,/players/b/barklch01.html,1985,2000,F,6-6,252,"February 20, 1963",Auburn
Erick Barkley,/players/b/barkler01.html,2001,2002,G,6-1,177,"February 21, 1978",St. John's
Don Barksdale,/players/b/barksdo01.html,1952,1955,F-C,6-6,200,"March 31, 1923",UCLA
Harrison Barnes,/players/b/barneha02.html,2013,2022,F,6-8,225,"May 30, 1992",UNC
Harry Barnes,/players/b/barneha01.html,1969,1969,F,6-3,205,"July 25, 1945",Northeastern University
Jim Barnes,/players/b/barneji01.html,1965,1971,C-F,6-8,210,"April 13, 1941",Texas-El Paso
Marvin Barnes,/players/b/barnema01.html,1975,1980,F-C,6-8,210,"July 27, 1952",Providence
Matt Barnes,/players/b/barnema02.html,2004,2017,F,6-7,226,"March 9, 1980",UCLA
Scottie Barnes,/players/b/barnesc01.html,2022,2022,G-F,6-9,227,"August 1, 2001",Florida State
Dick Barnett,/players/b/barnedi01.html,1960,1974,G-F,6-4,190,"October 2, 1936",Tennessee State
Jim Barnett,/players/b/barneji02.html,1967,1977,G-F,6-4,170,"July 7, 1944",Oregon
Nathaniel Barnett,/players/b/barnena01.html,1976,1976,G,6-3,175,"January 29, 1953",University of Akron
John Barnhill,/players/b/barnhjo01.html,1963,1972,G,6-1,180,"March 20, 1938",Tennessee State
Norton Barnhill,/players/b/barnhno01.html,1977,1977,G,6-4,205,"July 15, 1953",Washington State
Leo Barnhorst,/players/b/barnhle01.html,1950,1954,F-G,6-4,190,"May 11, 1924",Notre Dame
John Barr,/players/b/barrjo01.html,1947,1947,F,6-3,205,"August 18, 1918",Penn State
Mike Barr,/players/b/barrmi01.html,1973,1977,G,6-3,180,"October 19, 1950",Duquesne
Moe Barr,/players/b/barrmo01.html,1971,1971,G,6-4,195,"June 19, 1944",Duquesne
Andre Barrett,/players/b/barrean01.html,2005,2008,G,5-10,172,"February 21, 1982",Seton Hall
Ernie Barrett,/players/b/barreer01.html,1954,1956,G-F,6-3,180,"August 27, 1929",Kansas State
Mike Barrett,/players/b/barremi01.html,1970,1973,G,6-2,155,"September 5, 1943",West Virginia Tech
RJ Barrett,/players/b/barrerj01.html,2020,2022,G-F,6-6,214,"June 14, 2000",Duke
Earl Barron,/players/b/barroea01.html,2006,2015,C,7-0,250,"August 14, 1981",Memphis
Dana Barros,/players/b/barroda01.html,1990,2004,G,5-11,163,"April 13, 1967",Boston College
Brent Barry,/players/b/barrybr01.html,1996,2009,G,6-6,185,"December 31, 1971",Oregon State
Drew Barry,/players/b/barrydr01.html,1998,2000,G,6-5,191,"February 17, 1973",Georgia Tech
Jon Barry,/players/b/barryjo01.html,1993,2006,G,6-4,195,"July 25, 1969","University of the Pacific, Georgia Tech"
Rick Barry,/players/b/barryri01.html,1966,1980,F,6-7,205,"March 28, 1944",Miami (FL)
Ed Bartels,/players/b/barteed01.html,1950,1951,F,6-5,195,"October 8, 1925",NC State
Vic Bartolome,/players/b/bartovi01.html,1972,1972,C,7-0,230,"September 29, 1948",Oregon State
Will Barton,/players/b/bartowi01.html,2013,2022,G,6-6,181,"January 6, 1991",Memphis
Eddie Basden,/players/b/basdeed01.html,2006,2006,G,6-5,215,"February 15, 1983",UNC Charlotte
Jerry Baskerville,/players/b/baskeje01.html,1976,1976,F,6-7,190,"November 10, 1951",Temple
Brandon Bass,/players/b/bassbr01.html,2006,2017,F,6-8,250,"April 30, 1985",LSU
Paris Bass,/players/b/basspa01.html,2022,2022,F,6-8,200,"August 29, 1995",Detroit Mercy
Tim Bassett,/players/b/basseti01.html,1974,1980,F-C,6-8,225,"April 1, 1951",Georgia
Charles Bassey,/players/b/bassech01.html,2022,2022,C,6-11,235,"October 28, 2000",Western Kentucky
Maceo Baston,/players/b/bastoma01.html,2003,2009,F,6-9,215,"May 29, 1975",Michigan
Mengke Bateer,/players/b/bateeme01.html,2002,2004,C,6-11,290,"November 20, 1975",
Billy Ray Bates,/players/b/batesbi01.html,1980,1983,G,6-4,210,"May 31, 1956",Kentucky State University
Keita Bates-Diop,/players/b/bateske01.html,2019,2022,F,6-8,229,"January 23, 1996",Ohio State
Esteban Batista,/players/b/batises01.html,2006,2007,F-C,6-10,270,"September 2, 1983",
Mike Batiste,/players/b/batismi01.html,2003,2003,F,6-8,225,"November 21, 1977",Arizona State
Tony Battie,/players/b/battito01.html,1998,2012,C-F,6-11,230,"February 11, 1976",Texas Tech
Shane Battier,/players/b/battish01.html,2002,2014,F,6-8,220,"September 9, 1978",Duke
John Battle,/players/b/battljo01.html,1986,1995,G,6-2,175,"November 9, 1962",Rutgers University
Kenny Battle,/players/b/battlke01.html,1990,1993,F,6-6,210,"October 10, 1964","Northern Illinois, Illinois"
Dave Batton,/players/b/battoda01.html,1983,1984,C,6-10,240,"March 26, 1956",Notre Dame
Lloyd Batts,/players/b/battsll01.html,1975,1975,G-F,6-4,185,"May 9, 1951",Cincinnati
Nicolas Batum,/players/b/batumni01.html,2009,2022,F-G,6-8,230,"December 14, 1988",
Johnny Baum,/players/b/baumjo01.html,1970,1974,F,6-5,200,"June 17, 1946",Temple
Frankie Baumholtz,/players/b/baumhfr01.html,1947,1947,G,5-10,170,"October 7, 1918",Ohio University
